at_home;at_hospital;wandering;chasing;going_home;going_to_hospital
8;0;81;4;34;0
9;0;78;7;33;0
14;0;74;4;35;0
10;0;82;4;31;0
10;0;83;3;31;0
9;0;85;3;30;0
8;0;84;4;31;0
12;0;82;3;30;0
6;0;80;4;37;0
9;0;81;4;33;0
13;0;78;4;32;0
9;0;77;3;38;0
12;0;74;3;38;0
18;0;69;3;37;0
9;0;75;3;40;0
10;0;70;3;44;0
11;0;64;3;49;0
8;0;67;3;49;0
13;0;70;3;41;0
16;0;66;2;43;0
15;0;69;1;42;0
9;0;74;2;42;0
10;0;79;1;37;0
13;0;77;1;36;0
13;0;79;2;33;0
11;0;80;4;32;0
9;0;86;4;28;0
7;0;82;4;34;0
9;0;84;4;30;0
14;0;79;2;32;0
12;0;80;2;33;0
10;0;83;2;32;0
7;0;84;2;34;0
6;0;79;2;40;0
12;0;77;2;36;0
10;0;76;2;39;0
15;0;69;2;41;0
13;0;70;2;42;0
4;0;74;2;47;0
6;0;74;2;45;0
10;0;69;2;46;0
11;0;63;2;51;0
18;0;64;2;43;0
12;0;68;2;45;0
14;0;71;2;40;0
17;0;70;2;38;0
13;0;77;3;34;0
9;0;81;5;32;0
12;0;84;5;26;0
14;0;83;6;24;0
11;0;85;5;26;0
6;0;88;3;30;0
7;0;81;3;36;0
10;0;77;1;39;0
10;0;80;1;36;0
6;0;84;1;36;0
7;0;83;1;36;0
11;0;82;1;33;0
8;0;76;1;42;0
11;0;77;1;38;0
15;0;73;0;39;0
11;0;72;0;44;0
10;0;68;0;49;0
10;0;75;0;42;0
11;0;67;0;49;0
10;0;70;0;47;0
11;0;67;0;49;0
12;0;71;0;44;0
13;0;71;0;43;0
17;0;78;0;32;0
21;0;80;0;26;0
15;0;85;0;27;0
10;0;89;0;28;0
12;0;90;0;25;0
6;0;93;0;28;0
3;0;95;0;29;0
5;0;82;0;40;0
9;0;82;0;36;0
8;0;85;0;34;0
7;0;86;0;34;0
9;0;81;0;37;0
6;0;82;0;39;0
9;0;81;0;37;0
7;0;81;0;39;0
6;0;73;0;48;0
11;0;73;0;43;0
13;0;65;0;49;0
12;0;66;0;49;0
9;0;61;0;57;0
11;0;62;0;54;0
14;0;65;0;48;0
15;0;67;0;45;0
13;0;74;0;40;0
13;0;77;0;37;0
17;0;82;0;28;0
18;0;85;0;24;0
8;0;94;0;25;0
5;0;94;0;28;0
10;0;89;0;28;0
8;0;87;0;32;0
7;0;87;0;33;0
5;0;86;0;36;0
5;0;84;0;38;0
3;0;86;0;38;0
5;0;85;0;37;0
14;0;78;0;35;0
10;0;80;0;37;0
10;0;82;0;35;0
14;0;67;0;46;0
11;0;70;0;46;0
12;0;69;0;46;0
11;0;65;0;51;0
11;0;63;0;53;0
14;0;65;0;48;0
16;0;70;0;41;0
13;0;77;0;37;0
9;0;78;0;40;0
12;0;79;0;36;0
15;0;76;0;36;0
15;0;82;0;30;0
13;0;87;0;27;0
5;0;93;0;29;0
11;0;90;0;26;0
10;0;90;0;27;0
6;0;85;0;36;0
6;0;87;0;34;0
8;0;81;0;38;0
10;0;84;0;33;0
9;0;88;0;30;0
7;0;83;0;37;0
9;0;79;0;39;0
11;0;74;0;42;0
12;0;76;0;39;0
6;0;77;0;44;0
8;0;76;0;43;0
15;0;72;0;40;0
16;0;70;0;41;0
10;0;77;0;40;0
10;0;80;0;37;0
11;0;79;0;37;0
9;0;74;0;44;0
13;0;80;0;34;0
13;0;81;0;33;0
10;0;79;0;38;0
11;0;75;0;41;0
9;0;77;0;41;0
13;0;76;0;38;0
11;0;77;0;39;0
7;0;79;0;41;0
11;0;81;0;35;0
12;0;82;0;33;0
10;0;84;0;33;0
12;0;82;0;33;0
12;0;80;0;35;0
9;0;83;0;35;0
9;0;83;0;35;0
7;0;81;0;39;0
8;0;81;0;38;0
12;0;81;0;34;0
9;0;78;0;40;0
8;0;81;0;38;0
6;0;80;0;41;0
8;0;77;0;42;0
12;0;75;0;40;0
12;0;76;0;39;0
10;0;73;0;44;0
6;0;71;0;50;0
9;0;72;0;46;0
13;0;72;0;42;0
14;0;74;0;39;0
17;0;73;0;37;0
9;0;77;0;41;0
10;0;78;0;39;0
9;0;79;0;39;0
12;0;80;0;35;0
14;0;79;0;34;0
11;0;79;0;37;0
9;0;78;0;40;0
10;0;75;0;42;0
13;0;78;0;36;0
13;0;78;0;36;0
4;0;84;0;39;0
5;0;85;0;37;0
12;0;80;0;35;0
11;0;77;0;39;0
12;0;79;0;36;0
11;0;77;0;39;0
7;0;79;0;41;0
11;0;80;0;36;0
16;0;75;0;36;0
14;0;78;0;35;0
8;0;80;0;39;0
8;0;82;0;37;0
12;0;82;0;33;0
9;0;84;0;34;0
9;0;79;0;39;0
14;0;80;0;33;0
14;0;79;0;34;0
8;0;86;0;33;0
6;0;88;0;33;0
6;0;86;0;35;0
8;0;80;0;39;0
13;0;76;0;38;0
8;0;76;0;43;0
8;0;74;0;45;0
