cough_rate;sweating;virus_resistance
0.4580705;2.145404;0.8291869
0.4407921;2.159315;0.7831367
0.4414982;2.155286;0.7464017
0.4616101;2.151017;0.7085207
0.4858839;2.143144;0.7140724
0.482235;2.154356;0.7090725
0.4650534;2.149374;0.7294541
0.4969276;2.157892;0.6158583
0.4967115;2.160388;0.6091251
0.4921505;2.16181;0.6105053
0.5042157;2.154595;0.5834536
0.5153781;2.161115;0.5753388
0.4929387;2.178415;0.537689
0.4837154;2.177819;0.4858811
0.4793895;2.182435;0.4679011
0.458414;2.193582;0.4618236
0.437554;2.222975;0.4385278
0.4395351;2.219703;0.4231221
0.4408401;2.218971;0.4123937
0.4408401;2.218971;0.4123937
0.4408401;2.218971;0.4123937
0.4192378;2.22168;0.3949091
0.398788;2.232677;0.3682716
0.392591;2.23491;0.377978
0.3852918;2.247127;0.3589933
0.3804256;2.243744;0.3462163
0.3584169;2.251504;0.311974
0.3763218;2.243201;0.3333231
0.3848779;2.243065;0.3133828
0.3809736;2.250347;0.2780812
0.3836476;2.248457;0.2612841
0.377151;2.239267;0.2651488
0.3538839;2.25822;0.2368772
0.3522274;2.26316;0.2343247
0.3614109;2.260056;0.2059945
0.3614109;2.260056;0.2059945
0.3476992;2.268505;0.1835478
0.3540598;2.268167;0.1685004
0.3337997;2.287714;0.1388939
0.3368501;2.285084;0.1365533
0.3311333;2.296162;0.1291098
0.3296713;2.300777;0.1324948
0.3341999;2.307397;0.1308485
0.3478361;2.310138;0.0944422
0.3457243;2.320046;0.105181
0.3257932;2.333013;0.08349585
0.3257932;2.333013;0.08349585
0.3337323;2.333234;0.06840307
0.3349388;2.343658;0.06763561
0.3361248;2.34776;0.06309067
0.3293197;2.348651;0.04052535
0.3319116;2.361243;0.03882049
0.3319439;2.357796;0.03798919
0.3500181;2.35825;0.04258633
0.3333681;2.364139;0.01852434
0.315528;2.373099;-0.008142832
0.3193876;2.370867;-0.009014764
0.3193876;2.370867;-0.009014764
0.3193876;2.370867;-0.009014764
0.320601;2.374551;-0.009114548
0.3104369;2.38345;-0.02927193
0.3104369;2.38345;-0.02927193
0.3123676;2.384305;-0.05221079
0.3139737;2.384532;-0.05228785
0.3139737;2.384532;-0.05228785
0.3167402;2.37992;-0.06827386
0.3167402;2.37992;-0.06827386
0.3192706;2.383763;-0.07110193
0.3192706;2.383763;-0.07110193
0.3192706;2.383763;-0.07110193
0.3211616;2.388179;-0.07626671
0.3211616;2.388179;-0.07626671
0.3211616;2.388179;-0.07626671
0.3211616;2.388179;-0.07626671
0.3211616;2.388179;-0.07626671
0.3211616;2.388179;-0.07626671
0.3211616;2.388179;-0.07626671
0.3211616;2.388179;-0.07626671
0.3211616;2.388179;-0.07626671
0.3211616;2.388179;-0.07626671
