cough_rate;sweating;virus_resistance;aggressiveness;movement_speed;exhaustion_tolerance;pain_tolerance
1.084122;0.9859446;1.189207;0.626483;0.9950209;1.039525;1.045983
1.125872;0.9862641;1.207096;0.6614491;0.9588615;1.045175;1.023927
1.126419;1.007431;1.176995;0.6182002;0.9890434;1.051554;0.9622373
1.096842;0.9933304;1.163506;0.6305737;1.045504;1.043774;0.9831561
1.092569;0.9694822;1.160205;0.6643537;1.058724;1.056625;0.9700779
1.11494;0.9701456;1.17773;0.707804;1.057447;1.07396;0.9822201
1.119833;0.9551457;1.192231;0.7676656;1.023165;1.087483;0.9938454
1.131396;0.9569765;1.201424;0.7593948;1.048018;1.089458;0.9940966
1.144779;0.9569765;1.213594;0.7481438;1.048018;1.078549;0.9833086
1.138102;0.957837;1.223678;0.77368;1.066862;1.093776;1.012705
1.143856;0.9560802;1.221781;0.74243;1.069648;1.075411;1.002221
1.16279;0.9584668;1.221437;0.754899;1.06083;1.083424;1.002369
1.166862;0.9565349;1.226188;0.7535496;1.049573;1.077999;1.00248
1.155512;0.9036343;1.218993;0.7061796;1.083639;1.071424;0.9894502
1.142479;0.8985624;1.208548;0.6958763;1.0721;1.068032;0.9888949
1.155641;0.9011633;1.223235;0.7058773;1.070251;1.063882;0.9891797
1.142479;0.8985625;1.212007;0.7155997;1.053382;1.061691;0.9888949
1.116408;0.8732303;1.157118;0.7254498;1.062094;1.057989;0.9971917
1.122723;0.8787878;1.175046;0.7424165;1.082315;1.074252;0.9879831
1.116879;0.8718596;1.171116;0.7747092;1.078395;1.085783;0.9583289
1.083333;0.8996872;1.144209;0.7570484;1.111712;1.094787;0.9551232
1.079474;0.8996872;1.147579;0.7815575;1.113883;1.090041;0.9551232
1.070012;0.8846051;1.132989;0.7948598;1.086019;1.085245;0.9788791
1.071974;0.8874195;1.131052;0.7765498;1.098695;1.087681;0.9793942
1.062324;0.8896601;1.149744;0.7906691;1.11436;1.083777;1.001769
1.065744;0.8896601;1.148526;0.8183274;1.143089;1.085851;1.008679
1.065744;0.8896601;1.152731;0.8147152;1.143089;1.087984;1.028377
1.05416;0.8896602;1.166655;0.8679552;1.145804;1.083677;1.040391
1.054776;0.883177;1.159387;0.8670329;1.15565;1.115795;1.057846
1.077062;0.8807432;1.143824;0.900635;1.150985;1.09776;1.085034
1.078702;0.8782058;1.146884;0.8951393;1.154198;1.101836;1.086844
1.066211;0.8782058;1.146884;0.8951393;1.154198;1.101836;1.086844
1.077224;0.8724378;1.127975;0.8732923;1.145627;1.107107;1.05241
1.077224;0.8955508;1.11937;0.8563276;1.160937;1.065985;1.046862
1.07548;0.893064;1.120936;0.8756652;1.150347;1.070755;1.047978
1.071897;0.8868686;1.124066;0.8799117;1.135924;1.066348;1.068614
1.06998;0.8841093;1.125786;0.9002962;1.124465;1.063452;1.070287
1.052278;0.8868686;1.122791;0.9042336;1.137177;1.061941;1.075853
1.051062;0.8894996;1.122992;0.9323861;1.147801;1.058319;1.060175
1.04979;0.8868686;1.139779;0.9670806;1.183763;1.057474;1.080057
1.046132;0.9041632;1.198398;0.9712335;1.237622;1.076256;1.069103
1.049872;0.8963927;1.204484;0.9504521;1.23823;1.053048;1.060419
1.070273;0.8902251;1.257648;0.9878556;1.237095;1.038365;1.04198
1.068516;0.8929695;1.251206;0.9921325;1.247627;1.035061;1.048531
1.08059;0.8873363;1.263018;1.01269;1.23473;1.034504;1.051085
1.10935;0.8909105;1.263036;1.007233;1.239452;0.9894498;1.042917
1.113415;0.8992019;1.302012;1.056724;1.223627;0.9894753;1.03924
1.116655;0.8904616;1.30354;1.070059;1.245712;0.9891744;1.034391
1.113415;0.8935044;1.300247;1.068113;1.238887;0.9894753;1.057511
1.128073;0.8963826;1.31325;1.068594;1.232431;0.987224;1.055957
1.176372;0.8941567;1.311369;1.066621;1.214638;0.9872242;1.04774
1.188988;0.8947748;1.301345;1.067129;1.208989;0.9850916;1.046483
1.182848;0.8798295;1.312867;1.09675;1.208525;0.979686;1.04774
1.182848;0.8798295;1.312867;1.09675;1.208525;0.979686;1.04774
1.181996;0.8829919;1.306043;1.06905;1.218978;0.9850916;1.046483
1.172896;0.8823372;1.295366;1.032996;1.224488;0.9834916;1.073428
1.184674;0.8831983;1.286465;1.034286;1.219013;0.9816061;1.071637
1.172896;0.8823372;1.295366;1.032996;1.224488;0.9834916;1.073428
1.176658;0.8708259;1.296705;1.001163;1.239631;0.9904644;1.096098
1.176658;0.8708259;1.296705;1.001163;1.239631;0.9675355;1.120935
1.188344;0.8739765;1.268389;1.00323;1.233787;0.9660391;1.139994
1.172896;0.8643209;1.258851;1.029123;1.224488;0.985837;1.165162
1.186987;0.8766553;1.242521;1.038637;1.255075;0.9676518;1.166312
1.211505;0.8707818;1.248008;1.022486;1.227643;0.9556177;1.147168
1.201116;0.8663098;1.255442;1.041352;1.222349;0.9544681;1.165202
1.221854;0.8674764;1.256596;1.042365;1.217295;0.9533708;1.161448
1.221854;0.8674764;1.256596;1.042365;1.217295;0.9325264;1.184027
1.218834;0.8795243;1.24753;1.042365;1.206894;0.9325262;1.190937
1.21364;0.8799827;1.236309;1.059768;1.216746;0.931547;1.179394
1.235083;0.885438;1.245278;1.062616;1.199564;0.9303941;1.178149
1.23699;0.8906434;1.234103;1.058029;1.184354;0.931547;1.200878
1.221376;0.8940683;1.240165;1.055984;1.184354;0.9337807;1.221514
1.229112;0.904729;1.239615;1.055984;1.190991;0.9337807;1.228753
1.233602;0.9090595;1.255282;1.062944;1.197272;0.9325264;1.225265
1.239034;0.8924457;1.261219;1.060711;1.209361;0.9331389;1.223433
1.206667;0.9219134;1.296214;1.043953;1.219583;0.9201496;1.23092
1.242863;0.9504442;1.2963;1.01547;1.230834;0.9197915;1.211831
1.231016;0.9563699;1.286359;1.018591;1.214364;0.9096709;1.230053
1.243077;0.9512134;1.294441;0.935099;1.239416;0.9299277;1.245212
1.265;0.9563699;1.316167;0.9907278;1.229198;0.9386218;1.222637
1.276994;0.9586857;1.37298;1.050456;1.257508;0.9450694;1.223281
1.266472;0.9487435;1.390412;1.040653;1.24044;0.9487555;1.278748
1.266472;0.9487434;1.390412;1.027375;1.24044;0.9487555;1.278748
1.264366;0.9668437;1.409997;1.024587;1.258727;0.9487555;1.266036
1.257221;0.9930028;1.409382;1.028218;1.287387;0.94981;1.272691
1.232158;1.026461;1.450102;1.014926;1.351543;0.9348183;1.290872
1.229824;1.025705;1.438772;0.9871899;1.358806;0.9419691;1.282561
1.243301;1.024991;1.452607;0.9919606;1.367127;0.9409751;1.283158
1.226086;1.025705;1.438772;0.98719;1.358806;0.9419691;1.282561
1.211343;1.063274;1.424124;0.9667364;1.349996;0.9272995;1.315
1.221786;1.059658;1.425959;1.004079;1.386797;0.9187273;1.30456
1.22831;1.083662;1.475129;1.000859;1.352737;0.9316413;1.30154
1.228309;1.083662;1.475129;1.000859;1.352737;0.9316413;1.30154
1.220236;1.088891;1.469768;0.9959465;1.35421;0.9303005;1.2838
1.22734;1.091758;1.472431;0.9906887;1.323083;0.9284466;1.283147
1.24555;1.091758;1.500922;1.02665;1.32478;0.9028939;1.292955
1.255447;1.089369;1.519879;1.042416;1.413101;0.8919824;1.228792
1.330123;1.08151;1.553166;1.089018;1.409126;0.8942925;1.265731
1.316966;1.084421;1.572922;1.089851;1.423738;0.8905173;1.273293
1.306036;1.08151;1.566519;1.092234;1.454614;0.8910576;1.274353
1.306036;1.08151;1.566519;1.092234;1.454614;0.8910576;1.274353
1.295835;1.07012;1.557292;1.094578;1.43946;0.894689;1.294099
1.306036;1.072538;1.590127;1.092358;1.399944;0.8942926;1.290198
1.295835;1.061446;1.580113;1.094698;1.386613;0.8978162;1.309415
1.295835;1.061446;1.580113;1.094698;1.386613;0.8978162;1.309415
1.342951;1.061446;1.605173;1.099996;1.408558;0.894689;1.31955
1.369562;1.065835;1.611742;1.104194;1.390628;0.9592158;1.32826
1.363844;1.061446;1.623825;1.092454;1.408476;0.9861;1.326646
1.375171;1.059464;1.633921;1.079705;1.416536;1.01296;1.325917
1.363447;1.057606;1.595319;1.077214;1.403519;1.012555;1.315732
1.365296;1.057606;1.600178;1.079496;1.424092;1.041216;1.294186
1.387125;1.057606;1.600178;1.079496;1.424092;1.041216;1.294186
1.376549;1.059464;1.589318;1.076933;1.416536;1.045572;1.293868
1.280995;1.079597;1.565828;1.079496;1.483669;1.043766;1.294186
1.275221;1.08507;1.615788;1.072079;1.548961;1.041699;1.277434
