at_home;at_hospital;wandering;chasing;going_home;going_to_hospital
32;0;53;2;35;0
35;0;47;2;38;0
28;0;46;2;46;0
23;0;54;2;43;0
32;0;51;3;36;0
28;0;53;5;36;0
29;0;58;0;35;0
26;0;58;1;37;0
18;0;62;2;40;0
18;0;66;1;37;0
18;0;57;1;46;0
24;0;46;1;51;0
23;0;44;1;54;0
25;0;41;3;53;0
28;0;45;3;46;0
30;0;45;4;43;0
27;0;43;4;48;0
33;0;46;3;40;0
34;0;51;2;35;0
26;0;58;2;36;0
25;0;56;5;36;0
21;0;55;5;41;0
22;0;53;6;41;0
26;0;54;5;37;0
28;0;59;4;31;0
25;0;52;4;41;0
20;0;49;5;48;0
21;0;48;4;49;0
21;0;50;5;46;0
22;0;47;5;48;0
28;0;43;4;47;0
32;0;45;2;43;0
28;0;48;3;43;0
27;0;53;2;40;0
22;0;58;5;37;0
20;0;53;6;43;0
23;0;51;6;42;0
36;0;47;4;35;0
28;0;52;4;38;0
26;0;52;4;40;0
21;0;57;4;40;0
26;0;58;3;35;0
26;0;50;7;39;0
26;0;50;6;40;0
23;0;46;2;51;0
23;0;54;2;43;0
31;0;51;4;36;0
29;0;54;4;35;0
28;0;54;3;37;0
23;0;50;3;46;0
21;0;59;3;39;0
22;0;53;2;45;0
27;0;49;1;45;0
28;0;49;3;42;0
36;0;49;4;33;0
35;0;49;2;36;0
29;0;59;3;31;0
19;0;60;1;42;0
23;0;58;3;38;0
23;0;51;4;44;0
24;0;48;4;46;0
23;0;50;3;46;0
17;0;52;2;51;0
21;0;49;2;50;0
28;0;43;2;49;0
32;0;39;5;46;0
31;0;41;5;45;0
33;0;50;2;37;0
36;0;43;3;40;0
28;0;51;4;39;0
26;0;52;5;39;0
31;0;51;7;33;0
29;0;50;9;34;0
25;0;55;6;36;0
20;0;57;8;37;0
20;0;55;4;43;0
19;0;50;5;48;0
21;0;46;6;49;0
27;0;49;4;42;0
26;0;48;3;45;0
25;0;48;6;43;0
23;0;50;4;45;0
33;0;44;5;40;0
29;0;40;7;46;0
31;0;47;4;40;0
29;0;50;0;43;0
28;0;50;1;43;0
29;0;45;0;48;0
34;0;44;2;42;0
40;0;39;6;37;0
34;0;44;11;33;0
27;0;46;11;38;0
30;0;50;9;33;0
28;0;55;5;34;0
29;0;50;3;40;0
27;0;45;2;48;0
26;0;45;3;48;0
28;0;47;6;41;0
32;0;42;3;45;0
30;0;38;6;48;0
21;0;47;6;48;0
29;0;49;4;40;0
31;0;52;4;35;0
32;0;55;2;33;0
31;0;53;5;33;0
25;0;55;8;34;0
22;0;55;8;37;0
21;0;56;9;36;0
20;0;51;4;47;0
18;0;48;3;53;0
26;0;40;3;53;0
27;0;39;3;53;0
29;0;42;3;48;0
