cough_rate;sweating;virus_resistance;aggressiveness;movement_speed;exhaustion_tolerance;pain_tolerance
1;1;1;1;1;1;1
1;1;1;1;1;1;1
1;1;1;1;1;1;1
1;1;1;1;1;1;1
1;1;1;1;1;1;1
1;1;1;1;1;1;1
